nct_id,brief_title,classification,is_rare
NCT06208735,CLIC-2201 for the Treatment of Relapsed/Refractory B Cell Malignancies,"## Classification
No, this is not a clinical trial for a rare disease.

## Reasoning
The clinical trial information provided indicates that the study is focused on treating a variety of B-cell malignancies, including B-cell leukemia, non-Hodgkin's lymphoma, B-cell acute lymphoblastic leukemia, diffuse large B-cell lymphoma, high-grade B-cell lymphoma, primary mediastinal large B-cell lymphoma, mantle cell lymphoma, and B-cell lymphoma. These conditions, while potentially serious, are not considered rare diseases based on the accepted criteria of affecting fewer than 200,000 people in the US or no more than 1 in 2,000 people in Europe.

## Confidence Level
High

## Rare Disease Indicators
The information provided does not indicate that the target conditions for this clinical trial meet the criteria for a rare disease.",False
NCT06828861,Oral ARD-101 for Treatment of PWS: The Hunger Elimination or Reduction Objective Trial,"## Classification
Yes, this is a clinical trial for a rare disease.

## Reasoning
Prader-Willi syndrome (PWS) is a rare genetic disorder that affects approximately 1 in 15,000 to 1 in 30,000 people worldwide, which falls within the accepted criteria for a rare disease in both the US (affecting fewer than 200,000 people) and Europe (affecting no more than 1 in 2,000 people). The clinical trial is specifically targeting hyperphagia (excessive appetite) in patients with Prader-Willi syndrome, which is a key characteristic of this rare genetic condition.

## Confidence Level
High

## Rare Disease Indicators
- Prader-Willi syndrome affects approximately 1 in 15,000 to 1 in 30,000 people worldwide, which is below the threshold for a rare disease.
- Prader-Willi syndrome is a genetic disorder, which is generally characterized as a rare disease.",True
NCT06500702,"A Study to Evaluate the Efficacy and Safety of Frexalimab, SAR442970, or Rilzabrutinib in Participants Aged 16 to 75 Years With Primary Focal Segmental Glomerulosclerosis or Minimal Change Disease","## Classification
Yes, this is a clinical trial for a rare disease.

## Reasoning
The two conditions being studied in this clinical trial, primary focal segmental glomerulosclerosis (FSGS) and primary minimal change disease (MCD), are both rare kidney disorders. According to the provided definition, a rare disease is typically characterized by low prevalence, often genetic origin, and affecting fewer than 200,000 people in the US or no more than 1 in 2,000 people in Europe.

## Confidence Level
High

## Rare Disease Indicators
- The conditions being studied, FSGS and MCD, are both rare kidney disorders.
- The low prevalence of the target conditions meets the criteria for a rare disease in both the US and Europe.
- The genetic origins of FSGS and MCD align with the characteristic of rare diseases having a genetic basis.",True
NCT06588855,A Study to Assess the Efficacy and Safety of Induction Therapy With RO7790121 in Participants With Moderately to Severely Active Ulcerative Colitis,"## Classification
No, this is not a clinical trial for a rare disease.

## Reasoning
Based on the information provided, the condition being studied in this clinical trial is moderately to severely active ulcerative colitis (UC). Ulcerative colitis is a chronic inflammatory bowel disease that affects the large intestine and is not considered a rare disease. According to the criteria provided, a rare disease is typically defined as affecting fewer than 200,000 people in the US or no more than 1 in 2,000 people in Europe. The prevalence of ulcerative colitis is estimated to be much higher than these thresholds.

## Confidence Level
High

## Rare Disease Indicators
None. The condition being studied, ulcerative colitis, is a common chronic inflammatory bowel disease and does not meet the criteria for a rare disease.",False
NCT06667453,A Clinical Study of PGN-EDODM1 in People with Myotonic Dystrophy Type 1,"## Classification
Yes, this is a clinical trial for a rare disease.

## Reasoning
Myotonic dystrophy type 1 (DM1) is a rare genetic disorder that affects approximately 1 in 8,000 people worldwide, which falls within the accepted criteria for a rare disease in both the US (fewer than 200,000 people) and Europe (affecting no more than 1 in 2,000 people). Additionally, DM1 is generally characterized by low prevalence, chronicity, and genetic origin, which are also common features of rare diseases.

## Confidence Level
High

## Rare Disease Indicators
- Condition: Myotonic Dystrophy 1, a genetic disorder
- Prevalence: Estimated to affect approximately 1 in 8,000 people worldwide, which is within the accepted criteria for a rare disease",True
NCT06089616,A Study to Document and to Further Describe Long-term Safety and Effectiveness of Palovarotene in Participants With Fibrodysplasia Ossificans Progressiva (FOP),"## Classification
Yes, this is a clinical trial for a rare disease.

## Reasoning
The clinical trial is focused on fibrodysplasia ossificans progressiva (FOP), which is described as an ""ultra-rare, severely disabling disease"". This aligns with the criteria for a rare disease, as it affects fewer than 200,000 people in the United States and no more than 1 in 2,000 people in Europe.

## Confidence Level
High

## Rare Disease Indicators
- Extremely low prevalence (described as ""ultra-rare"")
- Severely disabling
- Chronic condition
- Genetic origin",True
NCT06422793,The Impact of Nasogastric Tube Gastric Decompression on Postoperative Nausea and Vomiting in Orthognathic Surgery,"## Classification
No, this is not a clinical trial for a rare disease.

## Reasoning
The condition being studied in this clinical trial is postoperative nausea and vomiting (PONV) in patients undergoing orthognathic (corrective jaw) surgery. PONV is a common side effect of various surgical procedures, affecting up to 60% of patients after orthognathic surgery. This indicates that the condition is not considered a rare disease, as it affects a significant portion of the population undergoing this type of surgery.

## Confidence Level
High

## Rare Disease Indicators
None. The information provided does not indicate that this trial is targeting a rare disease condition.",False
NCT06617429,Phase 3 Efficacy and Safety Study of GTX-102 in Pediatric Subjects with AS,"## Classification
Yes, this is a clinical trial for a rare disease.

## Reasoning
Angelman syndrome is a rare genetic disorder that affects approximately 1 in 15,000 to 1 in 20,000 people worldwide, which falls within the accepted criteria for a rare disease (affecting fewer than 200,000 people in the US or no more than 1 in 2,000 people in Europe). The brief summary and the condition being studied (Angelman Syndrome) indicate that this is a trial for a rare disease.

## Confidence Level
High

## Rare Disease Indicators
- Angelman Syndrome is a rare genetic disorder.
- The condition affects approximately 1 in 15,000 to 1 in 20,000 people worldwide, which is within the accepted criteria for a rare disease.",True
NCT06654752,Streamlined Treatment of Pulmonary Exacerbations in Pediatrics,"## Classification
Yes, this is a clinical trial for a rare disease.

## Reasoning
Cystic fibrosis, the condition being studied in this clinical trial, is a rare genetic disorder that affects fewer than 200,000 people in the United States, which is the accepted criteria for a rare disease in the US. Additionally, cystic fibrosis is characterized by low prevalence, chronicity, and genetic origin, which are also general indicators of a rare disease.

## Confidence Level
High

## Rare Disease Indicators
- Cystic fibrosis affects fewer than 200,000 people in the US, which is the accepted threshold for a rare disease in the US.
- Cystic fibrosis is a chronic, genetic condition, which are general characteristics of rare diseases.",True
NCT06672562,Narrative Enhancement and Cognitive Therapy for Self-Stigma in Youth,"## Classification
No, this is not a clinical trial for a rare disease.

## Reasoning
The information provided in the clinical trial details indicates that the target conditions for this study are bipolar disorder and multiple mental health conditions, which are not considered rare diseases. Rare diseases are typically defined as affecting fewer than 200,000 people in the US or no more than 1 in 2,000 people in Europe. The prevalence of bipolar disorder and multiple mental health conditions, while still significant, does not meet the criteria for a rare disease.

## Confidence Level
High

## Rare Disease Indicators
There are no clear indicators that this is a rare disease trial based on the information provided.",False
NCT06341712,Effects of Maintenance Cabozantinib+BSC Versus BSC in Children and AYA With Osteosarcoma,"## Classification
Yes, this is a clinical trial for a rare disease.

## Reasoning
The clinical trial is focused on osteosarcoma, which is a type of bone cancer that is considered a rare disease. The brief summary states that ""Osteosarcoma is very rare, but it is the most common type of bone cancer in children and teens."" This aligns with the definition of a rare disease, which is affecting fewer than 200,000 people in the US or no more than 1 in 2,000 people in Europe.

## Confidence Level
High

## Rare Disease Indicators
- Osteosarcoma is described as a ""very rare"" condition.
- The trial is specifically targeting children, adolescents, and young adults with osteosarcoma, which is more common in this age group.
- The low prevalence and genetic origin of osteosarcoma are indicators of a rare disease.",True
NCT06498128,"Registry to Collect Information on Pregnancy, Neonatal, and Infant Outcomes in Pregnant Women Exposed to QUVIVIQ®","## Classification
No, this is not a clinical trial for a rare disease.

## Reasoning
The condition being studied in this clinical trial is insomnia, which is not considered a rare disease. Insomnia is a common sleep disorder that affects a large number of people, and it does not meet the criteria for a rare disease as defined in the United States (affecting fewer than 200,000 people) or in Europe (affecting no more than 1 in 2,000 people).

## Confidence Level
High

## Rare Disease Indicators
None",False
NCT06719141,A Study to Investigate LP352 in Children and Adults with Developmental and Epileptic Encephalopathies (DEE),"## Classification
Yes, this is a clinical trial for a rare disease.

## Reasoning
The clinical trial is investigating the treatment of Developmental and Epileptic Encephalopathies (DEE), which are a group of rare and severe neurological disorders. According to the provided information, DEE is characterized as a condition, and the trial is specifically targeting individuals with this disorder. 

## Confidence Level
High

## Rare Disease Indicators
- The condition being studied, Developmental and Epileptic Encephalopathies (DEE), is generally considered a rare disease, as it is a group of severe and chronic neurological disorders.
- The trial is targeting a specific patient population, children and adults with DEE, which suggests a low prevalence.
- The trial is being conducted across multiple centers, further indicating the rare nature of the condition.",True
NCT06636383,Glycogen Storage Disease Type Ia (GSDIa) Disease Monitoring Program,"## Classification
Yes, this is a clinical trial for a rare disease.

## Reasoning
The clinical trial is focused on Glycogen Storage Disease Type Ia (GSDIa), which is a rare genetic disorder. According to the information provided, GSDIa is a rare disease as it is characterized by low prevalence, chronicity, and genetic origin. Additionally, the detailed description indicates that this is an observational study to follow up participants with GSDIa, further suggesting that it is a rare disease.

## Confidence Level
High

## Rare Disease Indicators
- Condition: Glycogen Storage Disease Type Ia (GSDIa)
- Characterized by low prevalence, chronicity, and genetic origin
- Observational study to follow up participants with the rare disease",True
NCT06358495,Improving Sleep to Prevent Depression & Anxiety in Adolescents at High Risk,"## Classification
No, this is not a clinical trial for a rare disease.

## Reasoning
The information provided about the clinical trial indicates that it is targeting insomnia, depression, and anxiety symptoms in high-risk adolescents. These conditions are not considered rare diseases based on the provided criteria:

- Insomnia, depression, and anxiety are common mental health conditions that affect a significant portion of the population, not just a small subset.
- The trial is targeting adolescents, a larger population segment, rather than a small, specialized group.
- The trial aims to prevent the onset of these conditions, rather than treating a rare, chronic, or genetically-based disorder.

## Confidence Level
High

## Rare Disease Indicators
There are no clear indicators that this is a rare disease trial based on the information provided.",False
NCT06396325,A Registry Based Randomized-Controlled Trial of an Upper Limb Exergaming Intervention for Children and Adolescents with Spinal Muscular Atrophy,"## Classification
Yes, this is a clinical trial for a rare disease.

## Reasoning
The clinical trial is focused on the condition of Spinal Muscular Atrophy (SMA), which is generally considered a rare disease. According to the information provided, SMA affects fewer than 200,000 people in the US, which meets the criteria for a rare disease in the US. Additionally, SMA is a chronic, genetic condition, which are also characteristics of rare diseases.

## Confidence Level
High

## Rare Disease Indicators
- Affects fewer than 200,000 people in the US
- Chronic, genetic condition",True
NCT06457503,A Study of Toripalimab in Combination With Cisplatin and Gemcitabine in Participants With Recurrent Metastatic Nasopharyngeal Cancer,"## Classification
No, this is not a clinical trial for a rare disease.

## Reasoning
The condition being studied in this clinical trial is nasopharyngeal cancer, which is not considered a rare disease. According to the provided information, nasopharyngeal cancer is a recurrent and metastatic form of the disease, but it does not meet the criteria for a rare disease. Nasopharyngeal cancer is more prevalent in certain regions, such as Southeast Asia, but it is not generally considered a rare disease globally.

## Confidence Level
High

## Rare Disease Indicators
None. The information provided does not indicate that nasopharyngeal cancer meets the criteria for a rare disease, either in the United States (affecting fewer than 200,000 people) or in Europe (affecting no more than 1 in 2,000 people).",False
NCT06538090,Early Movers Pilot Intervention,"## Classification
No, this is not a clinical trial for a rare disease.

## Reasoning
The information provided indicates that the clinical trial is focused on a general population of first-time parents and their infants, with the goal of promoting healthy movement behaviors. There is no mention of the trial targeting a specific rare disease or condition that affects fewer than 200,000 people in the US or 1 in 2,000 people in Europe. The conditions listed, such as child development, activity, and motor skills, are not considered rare diseases based on the provided criteria.

## Confidence Level
High

## Rare Disease Indicators
There are no rare disease indicators present in the given information.",False
NCT06532500,I-CARE: A Pilot Study of Cognitive Behavioural Therapy(CBT) for Mood and Anxiety Disorders,"## Classification
No, this is not a clinical trial for a rare disease.

## Reasoning
The clinical trial is focused on mood and anxiety disorders, which are not considered rare diseases. The conditions mentioned in the trial (mood disorders and anxiety disorders) are relatively common and affect a large number of people. The trial is not targeting a disease that affects fewer than 200,000 people in the US or no more than 1 in 2,000 people in Europe, which are the accepted criteria for a rare disease.

## Confidence Level
High

## Rare Disease Indicators
There are no clear indicators that this is a rare disease trial based on the information provided.",False
NCT06559176,A Study of the Safety and Efficacy of Prime Editing (PM359) in Participants with P47phox Autosomal Recessive Chronic Granulomatous Disease (CGD ),"## Classification
Yes, this is a clinical trial for a rare disease.

## Reasoning
The information provided indicates that Chronic Granulomatous Disease (CGD) is a rare genetic disease affecting the white blood cells, with approximately 20-25% of people with CGD inheriting a mutation in the NCF1 gene. This aligns with the definition of a rare disease in the US, affecting fewer than 200,000 people, and in Europe, affecting no more than 1 in 2,000 people.

## Confidence Level
High

## Rare Disease Indicators
- Low prevalence of the condition (CGD affects only 20-25% of people with the disease)
- Genetic origin of the condition
- Chronic and debilitating nature of the disease",True
NCT06553768,Evaluation of Maralixibat in Pruritus Associated with General Cholestatic Liver Disease (EXPAND),"## Classification
Yes, this is a clinical trial for a rare disease.

## Reasoning
The information provided indicates that this trial is targeting cholestatic liver disease, which is a group of rare liver disorders characterized by the build-up of bile in the liver. According to the brief summary, the trial is specifically excluding participants with certain well-known rare cholestatic liver diseases such as Alagille syndrome (ALGS), Progressive familial intrahepatic cholestasis (PFIC), Primary biliary cholangitis (PBC), and Primary sclerosing cholangitis (PSC). This suggests that the target population for this trial is a subset of cholestatic liver disease patients, which is likely to have a low prevalence.

## Confidence Level
High

## Rare Disease Indicators
- The target condition, cholestatic liver disease (excluding ALGS, PFIC, PBC, and PSC), is likely to have a low prevalence.
- The trial is being conducted at multiple sites across North America, Europe, Middle East, and South America, which is a common approach for rare disease trials to reach a sufficient number of eligible participants.",True
NCT06388564,A Study to Evaluate the Safety and Efficacy of Axatilimab in Combination With Ruxolitinib in Participants With Newly Diagnosed Chronic Graft-Versus-Host Disease,"## Classification
Yes, this is a clinical trial for a rare disease.

## Reasoning
Chronic graft-versus-host disease (cGVHD) is a rare condition that affects individuals who have undergone hematopoietic stem cell transplantation. According to the information provided, cGVHD is the condition being studied in this clinical trial. The prevalence of cGVHD is estimated to be around 5-15% of allogeneic hematopoietic stem cell transplant recipients, which falls within the definition of a rare disease in both the US (affecting fewer than 200,000 people) and Europe (affecting no more than 1 in 2,000 people).

## Confidence Level
High

## Rare Disease Indicators
- Chronic graft-versus-host disease (cGVHD) is the condition being studied, which is a rare disease.
- The brief summary indicates that this is a Phase 2 study, which is typically conducted for rare diseases to evaluate the efficacy and safety of the investigational treatment.",True
NCT06640387,"Viral Dynamics and Transmission of Influenza, RSV and SARS-CoV-2 in Children","## Classification
No, this is not a clinical trial for a rare disease.

## Reasoning
The conditions described in the clinical trial, namely SARS-CoV-2 infection, RSV infection, and influenza, are not considered rare diseases. These are common viral respiratory tract infections that affect a large number of children, as indicated in the brief summary. The prevalence of these conditions does not meet the criteria for a rare disease, which is typically defined as affecting fewer than 200,000 people in the US or no more than 1 in 2,000 people in Europe.

## Confidence Level
High

## Rare Disease Indicators
None of the indicators for a rare disease are present in the provided information. The conditions being studied are common and do not have a low prevalence, chronic nature, or genetic origin that are typically associated with rare diseases.",False
NCT05910840,Support-t Online Training in Youth Living With Type 1 Diabetes Transitioning to Adult Care,"## Classification
No, this is not a clinical trial for a rare disease.

## Reasoning
The clinical trial information provided indicates that the condition being studied is Type 1 Diabetes (T1D), which is not considered a rare disease. The brief summary and detailed description mention that the trial will enroll adolescents with T1D, which is a common chronic condition affecting an estimated 1.6 million people in the United States. This number exceeds the threshold of 200,000 people or fewer that is typically used to define a rare disease in the US.

## Confidence Level
High

## Rare Disease Indicators
This trial does not meet the criteria for a rare disease, as T1D is a common chronic condition that affects more than 200,000 people in the United States.",False
NCT06660394,"A Phase 3, Placebo-Controlled Study to Investigate LP352 in Children and Adults with Dravet Syndrome (DS)","## Classification
Yes, this is a clinical trial for a rare disease.

## Reasoning
The clinical trial is investigating the treatment of Dravet Syndrome, which is a rare and severe form of epilepsy. Dravet Syndrome is characterized by early-onset, treatment-resistant seizures and is generally considered a rare disease. According to the information provided, Dravet Syndrome affects fewer than 200,000 people in the US, which meets the criteria for a rare disease in the US.

## Confidence Level
High

## Rare Disease Indicators
- Dravet Syndrome is a rare and severe form of epilepsy.
- It affects fewer than 200,000 people in the US, meeting the criteria for a rare disease.
- The clinical trial is specifically targeting Dravet Syndrome, a rare condition.",True
NCT06256744,Resistance Exercise-induced Anabolism in Youths and Adults,"## Classification
No, this is not a clinical trial for a rare disease.

## Reasoning
The clinical trial information provided does not indicate that the condition or disease being studied is a rare disease. The trial is examining the effects of resistance exercise on muscle protein synthesis in children, adolescents, and adults, which is a common condition not considered a rare disease. The trial is not targeting a specific disease or condition that affects fewer than 200,000 people in the United States or no more than 1 in 2,000 people in Europe, which are the accepted criteria for a rare disease.

## Confidence Level
High

## Rare Disease Indicators
None present in the provided information.",False
NCT06473779,Open-label Study to Assess Reduction of Background Asthma Medication While Sustaining Asthma Control and Clinical Remission With Tezepelumab in Patients 12-80yrs With Severe Asthma.,"## Classification
No, this is not a clinical trial for a rare disease.

## Reasoning
The clinical trial is focused on patients with severe asthma, which is not considered a rare disease. Severe asthma affects a significant portion of the population, and the study aims to enroll approximately 65 sites in 10 countries, suggesting a larger patient population.

## Confidence Level
High

## Rare Disease Indicators
There are no clear indicators in the provided information that this is a rare disease trial. The condition being studied, severe asthma, is a common chronic respiratory disorder that affects millions of people worldwide.",False
NCT06641687,Be Sweet to Babies During Nasolaryngoscopy,"## Classification
No, this is not a clinical trial for a rare disease.

## Reasoning
The clinical trial information provided does not indicate that the condition being studied (infant conditions) is a rare disease. Infants and infant conditions are generally common and not considered rare based on the accepted criteria. The brief summary and detailed description suggest that the study is focused on pain management during a common medical procedure (flexible nasolaryngoscopy) in infants, which is not indicative of a rare disease.

## Confidence Level
High

## Rare Disease Indicators
None present in the provided information.",False
NCT06504342,Clocks in Sync - Circadian Rhythm and Bipolar Mania,"## Classification
No, this is not a clinical trial for a rare disease.

## Reasoning
The clinical trial is focused on bipolar disorder, which is not considered a rare disease. Bipolar disorder is estimated to affect around 2.8% of adults in the United States, which is significantly higher than the 0.05% (1 in 2,000) threshold for a rare disease in Europe or the 200,000 people threshold in the United States.

## Confidence Level
High

## Rare Disease Indicators
This clinical trial does not meet the criteria for a rare disease, as bipolar disorder has a relatively high prevalence.",False
NCT06571383,STEP TEENS Weight Maintenance: A Research Study on How Well Semaglutide Helps Teenagers With Excess Body Weight to Lose Weight and Maintain Weight Loss,"## Classification
No, this is not a clinical trial for a rare disease.

## Reasoning
The condition being studied in this trial is obesity, which is a common disease affecting a large population. According to the information provided, obesity is the target condition, and the trial is testing a treatment (semaglutide) for weight maintenance in adolescents with excess body weight. Obesity is not considered a rare disease, as it affects a much larger population than the criteria for rare diseases, which are typically defined as affecting fewer than 200,000 people in the US or no more than 1 in 2,000 people in Europe.

## Confidence Level
High

## Rare Disease Indicators
None. The condition of obesity does not meet the criteria for a rare disease.",False
